name,romanize name,School-Department,University,University email domain,Rank,Apella_id,Scholar name,Scholar id,Semantic Scholar name,Semantic Scholar id,ResearchGate name,ResearchGate url name/id,ResearchGate url type,Search Engine label
 Yannis Aloimonos, Yannis Aloimonos, Computer Science,University of Maryland,University of Maryland,Καθηγητής,1297,Aloimonos,7QmEsOwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Grigorios Antoniou,Grigorios Antoniou,Computing and Engineering,University of Huddersfield,University of Huddersfield,Καθηγητής,3297,Grigoris Antoniou,IzsVWfEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Paris Avgeriou,Paris Avgeriou,Johann Bernoulli Institute for Mathematics and Computer Science,University of Groningen,University of Groningen,Καθηγητής,6029,Paris Avgeriou,OlYdiYMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
George Bebis,George Bebis, Computer Science and Engineering,University of Nevada,University of Nevada,Καθηγητής,2504,George Bebis,-uRoVEUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Konstantinos Danas,Konstantinos Danas,Computer Science & Mathematics,"Kingston University, London","Kingston University, London",Καθηγητής,11148,Kostas (Konstantinos) Danas,0I7D4_AAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ioannis Dimitriadis,Ioannis Dimitriadis,School of Telecommunications Engineering,"University of Valladolid, Spain","University of Valladolid, Spain",Καθηγητής,1291,Yannis Dimitriadis,H2UM46MAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Petros Drineas,Petros Drineas,Computer Science,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Αναπληρωτής Καθηγητής,6835,Petros Drineas,Yw2PquQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Theodoros Evgeniou,Theodoros Evgeniou, Decision Sciences and Technology Management,Insead,Insead,Καθηγητής,7818,Theodoros Evgeniou,GEbzNGIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Dimitri  Ioannou,Dimitri  Ioannou,ECE ,"George Mason University, VA, USA","George Mason University, VA, USA",Καθηγητής,5548,Dimitris Ioannou,MP4yuEAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ioannis Kakadiaris,Ioannis Kakadiaris,Computational Biomedicine Lab.,University of Houston,University of Houston,Καθηγητής,104,Ioannis A. Kakadiaris,36SCzI0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Antonis Kakas,Antonis Kakas,Πληροφορικής,University of Cyprus,University of Cyprus,Καθηγητής,1421,Antonis Kakas,PrU4wEsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Bill Kapralos,Bill Kapralos,Business and Information Technology ,University of Ontario Institute of Technology,University of Ontario Institute of Technology,Καθηγητής,1070,Bill Kapralos,Gud0RdcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Dimitris Karagiannis,Dimitris Karagiannis,Computer Science,University of Vienna,University of Vienna,Καθηγητής,5128,Unknown,Unknown,D. Karagiannis,145328956,Unknown,Unknown,Unknown,2
George Karakostas,George Karakostas, Computing & Software,McMaster University,McMaster University,Αναπληρωτής Καθηγητής,6849,George Karakostas,qaT9cxAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Vasilios Katos,Vasilios Katos,Computing & Informatics,Bournemouth College,Bournemouth College,Καθηγητής,949,Vasilios Katos,MkuiHIAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Lydia Kavraki,Lydia Kavraki,"Electrical Engineering, Bioengineering and Mechanical Engineering",Rice University Huston,Rice University Huston,Καθηγητής,10716,Lydia E. Kavraki,Q6pxNZYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Vassilis Kostakos,Vassilis Kostakos,School of Computing and Information Systems,University of Melbourne,University of Melbourne,Καθηγητής,2668,Vassilis Kostakos,JnWGV4kAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Panos Linos,Panos Linos,Computer Science and Software Engineering,Butler University,Butler University,Καθηγητής,488,Panagiotis K. Linos,mYFmkiEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Pericles Loucopoulos,Pericles Loucopoulos,Business School,University of Manchester,University of Manchester,Καθηγητής,851,Pericles Loucopoulos,dPPT_pAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Spiros Mancoridis,Spiros Mancoridis,Computer Science,Drexel University,Drexel University,Καθηγητής,5271,Spiros Mancoridis,bKGwUrQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Athanasios Manikas,Athanasios Manikas,Electrical and Electronic Engineering,Imperial College,Imperial College,Professor,6500,athanassios manikas,294QJkAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Andreas Moshovos,Andreas Moshovos, Electrical and Computer Engineering,University of Toronto,University of Toronto,Καθηγητής,7924,Andreas Moshovos,D2VLt-8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Themis Palpanas,Themis Palpanas,Computer Science,Paris Descartes University,Paris Descartes University,Καθηγητής,10115,Themis Palpanas,qUBdmWgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Thrasyvoulos Pappas, Thrasyvoulos Pappas, Electrical Engineering and Computer Science,Northwestern University,Northwestern University,Καθηγητής,1911,Thrasyvoulos Pappas,FdtIIgkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
